tconst,film,year_film,genres,averageRating,dir_won_before,budget,nb_actor_won_before,won_bafta,won_gg_drama,won_gg_comedy,winner,runtimeMinutes,predicted_winner,true_winner
tt7286456,joker,2019,"Crime,Drama,Thriller",8.3,0,55000000.0,2,0,0,0,0,122,0,0
tt7322224,triangleofsadness,2022,"Comedy,Drama",7.3,0,12500000.0,0,0,0,0,0,147,0,0
tt7349662,blackkklansman,2018,"Biography,Comedy,Crime",7.5,0,,0,0,0,0,0,135,0,0
tt7653254,marriagestory,2019,"Drama,Romance",7.9,0,18000000.0,0,0,0,0,0,137,0,0
tt7740496,nightmarealley,2021,"Crime,Drama,Thriller",7.0,1,,3,0,0,0,0,150,0,0
tt8579674,1917,2019,"Action,Drama,War",8.2,1,95000000.0,1,1,1,0,0,119,1,0
tt8999762,thebrutalist,2024,Drama,7.4,0,9600000.0,1,0,1,0,0,216,0,0
tt9620288,kingrichard,2021,"Biography,Drama,Sport",7.5,0,,0,0,0,0,0,144,0,0
tt9620292,promisingyoungwoman,2020,"Crime,Drama,Mystery",7.5,0,10000000.0,0,0,0,0,0,113,0,0
tt9770150,nomadland,2020,Drama,7.3,0,5000000.0,2,1,1,0,1,107,1,1
tt9784798,judasandtheblackmessiah,2020,"Biography,Drama,History",7.4,0,,0,0,0,0,0,126,0,0
