tconst,film,year_film,averageRating,dir_won_before,budget,nb_actor_won_before,won_bafta,won_gg_drama,won_gg_comedy,winner,runtimeMinutes,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
tt0027698,thegreatziegfeld,1936,-1.5807129818974384,0,-1.0931531090783122,-0.6733845901952854,0,0,0,1,1.7818767394849353,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tt0027884,libeledlady,1936,0.46442334830761367,0,-1.0931531090783122,-0.6733845901952854,0,0,0,0,-1.0193992509611491,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0027996,mrdeedsgoestotown,1936,0.46442334830761367,1,-1.0931531090783122,-0.6733845901952854,0,0,0,0,-0.4088647402229,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0028203,romeoandjuliet,1936,-1.9215690369316125,0,-1.0931531090783122,0.3085676403758826,0,0,0,0,-0.04972679272981223,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0028216,sanfrancisco,1936,-0.7285728443120001,0,-1.0931531090783122,0.3085676403758826,0,0,0,0,-0.4088647402229,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
tt0028313,thestoryoflouispasteur,1936,-0.38771678927782455,0,-1.0931531090783122,-0.6733845901952854,0,0,0,0,-1.4503647879528545,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tt0028373,threesmartgirls,1936,-1.5807129818974384,0,-1.0931531090783122,-0.6733845901952854,0,0,0,0,-1.522192377451472,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
tt0028597,theawfultruth,1937,0.2939953207905266,1,-1.5362195873899411,-0.6733845901952854,0,0,0,0,-1.3067096089556194,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0028691,captainscourageous,1937,0.6348513758247022,0,-0.9912761931849917,0.3085676403758826,0,0,0,0,-0.3370371507242825,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0028773,deadend,1937,-0.5581448167949116,0,-0.9912761931849917,-0.6733845901952854,0,0,0,0,-1.1989682247076932,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt0028944,thegoodearth,1937,-0.04686073424364897,0,-0.9912761931849917,1.2905198709470507,0,0,0,0,0.41715253901120186,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0028950,thegrandillusion,1937,0.9757074308588762,0,-0.9912761931849917,-0.6733845901952854,0,0,0,0,-0.48069232972151754,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tt0029047,inoldchicago,1937,-1.4102849543803497,0,-0.8658442743415359,-0.6733845901952854,0,0,0,0,-1.1271406352090756,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tt0029146,thelifeofemilezola,1937,-0.7285728443120001,0,-0.9912761931849917,1.2905198709470507,0,0,0,1,-0.3729509454735912,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0029162,losthorizon,1937,0.12356729327343807,1,-0.9912761931849917,-0.6733845901952854,0,0,0,0,0.2016697705153492,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0029347,onehundredmenandagirl,1937,-1.4102849543803497,0,-0.9912761931849917,-0.6733845901952854,0,0,0,0,-1.522192377451472,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0029604,stagedoor,1937,0.2939953207905266,0,-0.9912761931849917,0.3085676403758826,0,0,0,0,-1.2348820194570018,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0029606,astarisborn,1937,-0.38771678927782455,0,-0.9912761931849917,3.254424332089387,0,0,0,0,-0.5525199192201351,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0029843,theadventuresofrobinhood,1938,0.6348513758247022,0,-0.7915668802836324,-0.6733845901952854,0,0,0,0,-0.8757440719639141,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0029852,alexandersragtimeband,1938,-1.2398569268632629,0,-0.9702187414445291,-0.6733845901952854,0,0,0,0,-0.732088892966679,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
tt0029942,boystown,1938,-0.5581448167949116,1,-0.9702187414445291,0.3085676403758826,0,0,0,0,-1.0912268404597667,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0029995,thecitadel,1938,-0.8990008718290872,0,-0.9702187414445291,-0.6733845901952854,0,0,0,0,-0.5884337139694439,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0030149,fourdaughters,1938,-1.0694288993461742,0,-0.9702187414445291,-0.6733845901952854,0,0,0,0,-1.3067096089556194,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
tt0030287,jezebel,1938,-0.217288761760736,0,-1.088350273321392,0.3085676403758826,0,0,0,0,-0.8039164824652966,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0030637,pygmalion,1938,0.2939953207905266,0,-0.9702187414445291,-0.6733845901952854,0,0,0,0,-1.3426234037049283,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0030848,testpilot,1938,-1.2398569268632629,0,-0.9702187414445291,2.2724721015182188,0,0,0,0,-0.2652095612256649,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0030993,youcanttakeitwithyou,1938,0.46442334830761367,1,-0.9208886470759468,0.3085676403758826,0,0,0,1,-0.013812997980503455,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0031210,darkvictory,1939,-0.217288761760736,0,-0.9893130306577401,1.2905198709470507,0,0,0,0,-0.8039164824652966,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0031381,gonewiththewind,1939,1.1461354583759633,1,-0.9893130306577401,0.3085676403758826,0,0,0,1,4.008532013942079,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
tt0031385,goodbyemrchips,1939,0.6348513758247022,0,-0.9893130306577401,-0.6733845901952854,0,0,0,0,-0.44477853497220876,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0031593,loveaffair,1939,-0.38771678927782455,1,-0.9893130306577401,-0.6733845901952854,0,0,0,0,-1.378537198454237,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0031679,mrsmithgoestowashington,1939,0.9757074308588762,1,-0.9770972806114834,-0.6733845901952854,0,0,0,0,0.09392838626742288,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0031725,ninotchka,1939,0.46442334830761367,0,-0.9893130306577401,-0.6733845901952854,0,0,0,0,-0.5884337139694439,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0031742,ofmiceandmen,1939,0.46442334830761367,1,-0.9893130306577401,-0.6733845901952854,0,0,0,0,-0.732088892966679,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0031971,stagecoach,1939,0.46442334830761367,1,-1.61042180460556,-0.6733845901952854,0,0,0,0,-1.0912268404597667,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tt0032138,thewizardofoz,1939,0.9757074308588762,0,-0.6012700109994301,-0.6733845901952854,0,0,0,0,-0.8757440719639141,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
tt0032145,wutheringheights,1939,-0.04686073424364897,0,-0.9893130306577401,-0.6733845901952854,0,0,0,0,-0.8039164824652966,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0032194,allthisandheaventoo,1940,-0.217288761760736,0,-1.0988833709470285,1.2905198709470507,0,0,0,0,0.5248939232591282,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0032484,foreigncorrespondent,1940,-0.217288761760736,0,-0.9835724012994609,-0.6733845901952854,0,0,0,0,-0.2292957664763561,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0032551,thegrapesofwrath,1940,0.9757074308588762,1,-1.3606755150237064,-0.6733845901952854,0,0,0,0,0.09392838626742288,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0032553,thegreatdictator,1940,1.4869915134101404,0,-0.8015530556949281,-0.6733845901952854,0,0,0,0,-0.04972679272981223,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tt0032671,kittyfoyle,1940,-1.0694288993461742,0,-1.0988833709470285,-0.6733845901952854,0,0,0,0,-0.6602613034680614,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0032701,theletter,1940,-0.04686073424364897,0,-1.0988833709470285,2.2724721015182188,0,0,0,0,-1.1271406352090756,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt0032728,thelongvoyagehome,1940,-1.0694288993461742,1,-1.457610037155557,0.3085676403758826,0,0,0,0,-0.7680026877159878,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tt0032881,ourtown,1940,-1.7511410094145254,0,-1.0988833709470285,1.2905198709470507,0,0,0,0,-1.3067096089556194,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0032904,thephiladelphiastory,1940,0.46442334830761367,0,-1.0988833709470285,0.3085676403758826,0,0,0,0,-0.5166061244708263,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0032976,rebecca,1940,0.9757074308588762,0,-1.0988833709470285,-0.6733845901952854,0,0,0,1,0.12984218101673164,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
tt0033407,blossomsinthedust,1941,-1.0694288993461742,0,-1.1728803170888475,-0.6733845901952854,0,0,0,0,-0.9834854562118405,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0033467,citizenkane,1941,1.3165634858930533,0,-1.3311020178574209,-0.6733845901952854,0,0,0,0,-0.2652095612256649,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0033712,herecomesmrjordan,1941,-0.04686073424364897,0,-1.1728803170888475,-0.6733845901952854,0,0,0,0,-1.1630544299583843,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
tt0033722,holdbackthedawn,1941,-0.38771678927782455,0,-1.1728803170888475,-0.6733845901952854,0,0,0,0,-0.3729509454735912,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0033729,howgreenwasmyvalley,1941,0.2939953207905266,1,-1.3606755150237064,-0.6733845901952854,0,0,0,1,-0.3011233559749737,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0033836,thelittlefoxes,1941,0.6348513758247022,0,-1.1728803170888475,1.2905198709470507,0,0,0,0,-0.3729509454735912,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0033870,themaltesefalcon,1941,0.6348513758247022,0,-1.959178729221964,-0.6733845901952854,0,0,0,0,-0.9475716614625317,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt0033980,onefootinheaven,1941,-1.5807129818974384,0,-1.1728803170888475,0.3085676403758826,0,0,0,0,-0.6602613034680614,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0034167,sergeantyork,1941,0.2939953207905266,0,-1.1728803170888475,2.2724721015182188,0,0,0,0,0.27349736001396674,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tt0034248,suspicion,1941,-0.38771678927782455,0,-0.8658442743415359,-0.6733845901952854,0,0,0,0,-0.9834854562118405,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
tt0034583,casablanca,1943,1.6574195409272274,1,-1.2558121749929363,-0.6733845901952854,0,0,0,1,-0.8757440719639141,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
tt0034891,inwhichweserve,1943,-0.5581448167949116,0,-2.095340978868352,-0.6733845901952854,0,0,0,0,-0.4088647402229,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tt0034946,kingsrow,1942,-0.04686073424364897,0,-1.372255736357147,-0.6733845901952854,0,0,0,0,0.022100796768805324,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0035015,themagnificentambersons,1942,0.12356729327343807,0,-1.372255736357147,-0.6733845901952854,0,0,0,0,-1.378537198454237,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
