tconst,film,year_film,genres,averageRating,dir_won_before,budget,nb_actor_won_before,won_bafta,won_gg_drama,won_gg_comedy,winner,runtimeMinutes
tt0084855,theverdict,1982,Drama,7.7,0,16.588099342704055,0,0,0,0,0,129
tt0085244,thebigchill,1983,"Comedy,Drama",7.1,0,15.894952224644102,0,0,0,0,0,105
tt0085461,thedresser,1983,Drama,7.5,0,16.61887099947687,0,0,0,0,0,118
tt0086197,therightstuff,1983,"Adventure,Biography,Drama",7.8,0,17.11134746100564,0,0,0,0,0,193
tt0086423,tendermercies,1983,"Drama,Music",7.3,0,16.61887099947687,0,0,0,0,0,92
tt0086425,termsofendearment,1983,"Comedy,Drama",7.4,1,16.61887099947687,1,0,1,0,1,132
tt0086879,amadeus,1984,"Biography,Drama,Music",8.4,1,16.705882371415992,0,0,1,0,1,160
tt0087553,thekillingfields,1984,"Biography,Drama,History",7.8,0,16.540090126591462,0,1,0,0,0,141
tt0087892,apassagetoindia,1984,"Adventure,Drama,History",7.3,1,16.540090126591462,1,0,0,0,0,164
tt0087921,placesintheheart,1984,Drama,7.4,1,16.066802461833923,1,0,0,0,0,111
tt0088146,asoldiersstory,1984,"Crime,Drama,Mystery",7.2,0,16.540090126591462,0,0,0,0,0,101
tt0088939,thecolorpurple,1985,Drama,7.7,0,16.52356082573315,0,0,0,0,0,154
tt0089424,kissofthespiderwoman,1985,Drama,7.3,0,14.220976332738882,0,0,0,0,0,120
tt0089755,outofafrica,1985,"Biography,Drama,Romance",7.1,1,17.249497794707484,2,0,1,0,1,161
tt0089841,prizzishonor,1985,"Comedy,Crime,Drama",6.7,1,16.334997621849944,2,0,0,1,0,130
tt0090329,witness,1985,"Drama,Romance,Thriller",7.3,0,16.300417291085605,0,0,0,0,0,112
tt0090830,childrenofalessergod,1986,"Drama,Romance",7.2,0,16.474497900446572,1,0,0,0,0,119
tt0091167,hannahandhersisters,1986,"Comedy,Drama",7.8,1,16.474497900446572,0,0,0,1,0,107
tt0091530,themission,1986,"Adventure,Drama,History",7.4,0,16.61887099947687,2,0,0,0,0,125
tt0091763,platoon,1986,"Drama,War",8.1,1,15.607270193858982,0,0,1,0,1,120
tt0091867,aroomwithaview,1986,"Drama,Romance",7.2,0,14.648420115681892,2,1,0,0,0,117
tt0092699,broadcastnews,1987,"Comedy,Drama,Romance",7.3,1,16.811242881518265,3,0,0,0,0,133
tt0093010,fatalattraction,1987,"Drama,Thriller",6.9,0,16.454567959008102,0,0,0,0,0,119
tt0093209,hopeandglory,1987,"Comedy,Drama,Romance",7.3,0,16.540745649351383,0,0,0,1,0,113
tt0093389,thelastemperor,1987,"Biography,Drama,History",7.7,1,16.98519618065851,0,1,1,0,1,163
tt0093565,moonstruck,1987,"Comedy,Drama,Romance",7.2,0,16.52356082573315,0,0,0,0,0,102
