year_film,averageRating,dir_won_before,budget,nb_actor_won_before,won_bafta,won_gg_drama,won_gg_comedy,runtimeMinutes,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,true_winner,pred_winner
1992,0.8185268895509537,0,1.314871772027896,-0.6715317874761784,0,1,0,1.0665814467991785,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1992,1.1447016148334217,1,0.8065879289986794,0.37773663045535033,0,0,0,0.1680629701300207,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1993,0.49235216426848405,0,1.5470206492443774,-0.6715317874761784,0,0,0,0.1680629701300207,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,0.9816142521921877,0,1.2474001154689438,0.37773663045535033,0,0,0,0.27173817897646196,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,0.003090076344780414,0,1.2474001154689438,-0.6715317874761784,0,0,0,-0.1429626564093032,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1993,0.49235216426848405,0,1.2474001154689438,1.427005048386879,0,0,0,0.30629658192527576,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1993,2.4494005159633,1,1.1722746321474544,0.37773663045535033,1,1,0,2.4143591618029157,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
1994,2.123225790680832,1,1.694942310822041,2.476273466318408,0,1,0,0.5827638055157859,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1994,-0.6492593742201587,0,1.4410570881016573,-0.6715317874761784,1,0,0,-0.2811962682045583,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1994,2.286313153322066,0,0.41694470083153234,-0.6715317874761784,0,0,0,0.9974646409015511,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0.003090076344780414,1,1.314871772027896,0.37773663045535033,0,0,0,0.27173817897646196,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1994,2.938662603887005,0,1.1722746321474544,-0.6715317874761784,0,0,0,0.5827638055157859,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,1.797051065398361,0,0.9903506960368507,-0.6715317874761784,0,0,0,-0.315754671153372,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1999,1.797051065398361,0,1.752622075362491,1.427005048386879,0,0,0,2.207008744110033,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,1.797051065398361,1,1.854808424335466,1.427005048386879,0,1,0,1.5158406851337576,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
