tconst,film,year_film,runtimeMinutes,genres,winner
tt0037884,thelostweekend,1945,101,"Drama,Film-Noir",True
tt0037913,mildredpierce,1945,111,"Crime,Drama,Film-Noir",False
tt0038109,spellbound,1945,111,"Drama,Film-Noir,Mystery",False
tt0036868,thebestyearsofourlives,1946,170,"Drama,Romance,War",True
tt0036910,henryv,1946,137,"Biography,Drama,History",False
tt0038650,itsawonderfullife,1946,130,"Drama,Family,Fantasy",False
tt0038873,therazorsedge,1946,145,"Drama,Romance",False
tt0039111,theyearling,1946,128,"Drama,Family,Western",False
tt0039190,thebishopswife,1947,109,"Comedy,Drama,Fantasy",False
tt0039286,crossfire,1947,86,"Crime,Drama,Film-Noir",False
tt0039416,gentlemansagreement,1947,118,"Drama,Romance",True
tt0038574,greatexpectations,1947,118,"Adventure,Drama,Mystery",False
tt0039628,miracleon34thstreet,1947,96,"Comedy,Drama,Family",False
tt0040416,hamlet,1948,154,Drama,True
tt0040495,johnnybelinda,1948,102,Drama,False
tt0040725,theredshoes,1948,135,"Drama,Music,Romance",False
tt0040806,thesnakepit,1948,108,"Drama,Mystery",False
tt0040897,thetreasureofthesierramadre,1948,126,"Adventure,Drama,Western",False
tt0041113,allthekingsmen,1949,110,"Drama,Film-Noir",True
tt0041163,battleground,1949,118,"Action,Drama,History",False
tt0041452,theheiress,1949,115,"Drama,Romance",False
tt0041587,alettertothreewives,1949,103,"Comedy,Drama,Romance",False
tt0041996,twelveoclockhigh,1949,132,"Drama,War",False
tt0042192,allabouteve,1950,138,Drama,True
tt0042276,bornyesterday,1950,103,"Comedy,Drama,Romance",False
tt0042451,fatherofthebride,1950,92,"Comedy,Drama,Romance",False
tt0042646,kingsolomonsmines,1950,103,"Action,Adventure,Romance",False
tt0043278,anamericaninparis,1951,114,"Drama,Musical,Romance",True
tt0043459,decisionbeforedawn,1951,119,"Drama,War",False
tt0043924,aplaceinthesun,1951,122,"Drama,Romance",False
tt0043949,quovadis,1951,171,"Drama,Romance",False
tt0044081,astreetcarnameddesire,1951,122,Drama,False
tt0044672,thegreatestshowonearth,1952,152,"Drama,Family,Romance",True
tt0044706,highnoon,1952,85,"Drama,Thriller,Western",False
tt0044760,ivanhoe,1952,106,"Action,Adventure,Drama",False
tt0044926,moulinrouge,1952,119,"Biography,Drama,Music",False
tt0045061,thequietman,1952,129,"Comedy,Drama,Romance",False
tt0045793,fromheretoeternity,1953,118,"Drama,Romance,War",True
tt0045943,juliuscaesar,1953,120,"Drama,History",False
tt0046247,therobe,1953,135,"Drama,History,Romance",False
tt0046250,romanholiday,1953,118,"Comedy,Drama,Romance",False
tt0046303,shane,1953,118,"Drama,Western",False
tt0046816,thecainemutiny,1954,124,"Drama,War",False
tt0046874,thecountrygirl,1954,104,"Drama,Music",False
tt0047296,onthewaterfront,1954,108,"Crime,Drama,Thriller",True
tt0047472,sevenbridesforsevenbrothers,1954,102,"Musical,Romance,Western",False
tt0047580,threecoinsinthefountain,1954,102,"Drama,Romance",False
tt0048316,loveisamanysplendoredthing,1955,102,"Biography,Drama,Romance",False
tt0048356,marty,1955,90,"Drama,Romance",True
tt0048380,misterroberts,1955,123,"Comedy,Drama,War",False
tt0048491,picnic,1955,115,"Drama,Romance",False
tt0048563,therosetattoo,1955,117,"Comedy,Drama,Romance",False
tt0048960,aroundtheworldin80days,1956,175,"Adventure,Comedy,Family",True
tt0049233,friendlypersuasion,1956,137,"Drama,Family,Romance",False
tt0049261,giant,1956,201,"Drama,Western",False
tt0049408,thekingandi,1956,133,"Biography,Drama,Musical",False
